Country Code,Year,Sex,Age Group,Percentage of cause-specific deaths out of total deaths,Death rate per 100 000 population
ISR,2014,Male,[All],22.95471842,118.5670878
ISR,2014,Female,[All],24.88413884,126.93594143
ITA,2014,All,[All],36.78036314,362.2242394
ITA,2014,Male,[All],33.14906832,325.72389785
ITA,2014,Female,[All],40.18745751,396.62177316
JAM,2014,All,[All],35.50218341,226.21514995
JAM,2014,Male,[All],33.91843599,225.78970421
JAM,2014,Female,[All],37.21326368,226.63598747
JPN,2014,All,[All],26.84673418,272.46635627
JPN,2014,Male,[All],24.50335739,265.07429433
JPN,2014,Female,[All],29.37241908,279.47383951
KAZ,2014,All,[All],27.17540468,207.31547199
KAZ,2014,Male,[All],26.47332786,228.06134206
KAZ,2014,Female,[All],28.01754327,187.93901563
KOR,2014,All,[All],21.59720873,113.88968354
KOR,2014,Male,[All],18.66807855,108.38446146
KOR,2014,Female,[All],25.1821452,119.39182955
KWT,2014,All,[All],37.68860885,56.27010641
KWT,2014,Male,[All],41.44356955,64.80639347
KWT,2014,Female,[All],31.24718595,43.29498546
KGZ,2014,All,[All],50.37551686,306.88082009
KGZ,2014,Male,[All],45.84124763,317.69202683
KGZ,2014,Female,[All],56.21100032,296.29800431
LVA,2014,All,[All],56.98734087,806.05602819
LVA,2014,Male,[All],49.41358708,732.83114144
LVA,2014,Female,[All],63.9989074,868.05426914
LTU,2014,All,[All],55.9549836,768.08257629
LTU,2014,Male,[All],46.99651914,699.49064706
LTU,2014,Female,[All],64.89921557,826.69245232
LUX,2014,All,[All],31.3900135,209.05271975
LUX,2014,Male,[All],28.29598749,194.94227124
LUX,2014,Female,[All],34.71444569,223.20223202
MDV,2014,All,[All],42.17804667,112.18003977
MDV,2014,Male,[All],43.38781575,114.65728466
MDV,2014,Female,[All],40.49586777,108.67998181
MLT,2014,All,[All],37.64525994,288.00643862
MLT,2014,Male,[All],34.86404834,270.12223382
MLT,2014,Female,[All],40.49535604,305.87332916
MTQ,2014,All,[All],24.68316234,214.6204262
MTQ,2014,Male,[All],22.70011947,215.48546607
MTQ,2014,Female,[All],26.70731707,213.87136468
MUS,2014,All,[All],31.75460903,245.80382444
MUS,2014,Male,[All],30.55769231,263.30921185
MUS,2014,Female,[All],33.2232185,228.6486346
MYT,2014,All,[All],22.27891156,56.06580671
MYT,2014,Male,[All],22.72727273,65.41420273
MYT,2014,Female,[All],21.70542636,47.05724177
MEX,2014,All,[All],25.00691639,128.42577011
MEX,2014,Male,[All],23.31348483,135.75398436
MEX,2014,Female,[All],27.14072781,121.40903893
MDA,2014,All,[All],57.85688965,642.50419737
MDA,2014,Male,[All],49.8252936,600.10228684
MDA,2014,Female,[All],66.61901737,681.812517
NLD,2014,All,[All],27.19521918,224.50033822
NLD,2014,Male,[All],26.31516217,211.44121676
NLD,2014,Female,[All],28.01447949,237.31740048
NZL,2014,All,[All],33.2466949,226.84047626
NZL,2014,Male,[All],32.7051633,228.75958156
NZL,2014,Female,[All],33.79698518,224.98495865
NIC,2014,All,[All],28.35315604,103.61840686
NIC,2014,Male,[All],24.91873464,103.82644895
NIC,2014,Female,[All],32.79389313,103.41616791
NOR,2014,All,[All],29.04025382,228.05181347
NOR,2014,Male,[All],27.82321565,212.02967409
NOR,2014,Female,[All],30.19991287,244.25478605
PAN,2014,All,[All],27.90160145,129.95621475
PAN,2014,Male,[All],27.60965332,147.28909892
PAN,2014,Female,[All],28.29602795,112.50370383
PRY,2014,All,[All],25.13067655,102.71949834
PRY,2014,Male,[All],23.73215813,107.42859185
PRY,2014,Female,[All],26.95740882,97.83975015
PER,2014,All,[All],18.59961227,59.62374859
PER,2014,Male,[All],17.94341991,62.14080282
PER,2014,Female,[All],19.36025429,57.13725506
PHL,2014,All,[All],34.96300738,187.9873783
PHL,2014,Male,[All],34.1949776,208.88294493
PHL,2014,Female,[All],35.99490264,166.70245696
POL,2014,All,[All],45.08602348,446.59609599
POL,2014,Male,[All],40.2556808,428.41216754
POL,2014,Female,[All],50.32046315,463.65681654
PRT,2014,All,[All],30.68457218,310.41060999
PRT,2014,Male,[All],27.24213989,294.96990696
PRT,2014,Female,[All],34.24527755,324.38259345
PRI,2014,All,[All],24.33669408,212.46951071
PRI,2014,Male,[All],23.49652927,231.21422224
PRI,2014,Female,[All],25.32256902,195.23640945
REU,2014,All,[All],23.40767993,118.79187034
REU,2014,Male,[All],21.72284644,125.82921938
REU,2014,Female,[All],25.48818088,112.18876665
ROU,2014,All,[All],58.49312651,748.81312941
ROU,2014,Male,[All],51.76317785,708.5834723
ROU,2014,Female,[All],65.85474016,787.24210311
RUS,2014,All,[All],50.07824651,655.36109449
RUS,2014,Male,[All],44.94734921,648.45400096
RUS,2014,Female,[All],55.42853538,661.31745171
LCA,2014,All,[All],31.64362519,231.07641226
LCA,2014,Female,[All],34.26573427,216.57219257
LCA,2014,Male,[All],29.43603851,243.71910803
VCT,2014,All,[All],38.89447236,355.49921459
VCT,2014,Male,[All],35.59928444,358.75894644
VCT,2014,Female,[All],43.11926606,352.0665181
SRB,2014,All,[All],53.32799984,757.07533049
SRB,2014,Male,[All],48.40423446,710.99354805
SRB,2014,Female,[All],58.32752752,800.81092286
SYC,2014,All,[All],27.86206897,221.10574765
SYC,2014,Male,[All],25.41176471,238.52643668
SYC,2014,Female,[All],31.33333333,203.98862872
SGP,2014,All,[All],30.72873828,144.77855521
SGP,2014,Male,[All],31.25892675,161.05886744
SGP,2014,Female,[All],30.11619635,129.04346783
SVK,2014,All,[All],44.57882949,422.41156421
SVK,2014,Male,[All],39.77658691,399.13749946
SVK,2014,Female,[All],49.70016501,444.53563863
SVN,2014,All,[All],41.05686752,376.1114423
SVN,2014,Male,[All],33.34057341,300.56225702
SVN,2014,Female,[All],48.39842943,450.29628804
ZAF,2014,All,[All],17.26177872,143.47633678
ZAF,2014,Male,[All],14.851255,130.5152828
ZAF,2014,Female,[All],20.00921676,155.62922323
ESP,2014,All,[All],29.65742869,252.70192459
ESP,2014,Male,[All],26.58170074,234.59187467
ESP,2014,Female,[All],32.84892849,270.21768124
LKA,2014,All,[All],25.54823107,157.53413027
LKA,2014,Male,[All],26.39810557,191.04294162
LKA,2014,Female,[All],24.43700383,126.25528679
SUR,2014,All,[All],29.3968254,167.36764671
SUR,2014,Male,[All],29.46428571,189.63814313
SUR,2014,Female,[All],29.35103245,144.80467741
SWE,2014,All,[All],36.54532797,335.68102753
SWE,2014,Male,[All],36.03130755,323.16818796
SWE,2014,Female,[All],37.03476393,348.16933938
CHE,2014,All,[All],32.83748023,255.55684729
CHE,2014,Male,[All],30.69329363,233.68671786
CHE,2014,Female,[All],34.84696818,276.95234771
THA,2014,All,[All],13.46941399,90.33287216
THA,2014,Male,[All],13.34556043,102.80213104
THA,2014,Female,[All],13.62994276,78.28274282
TUR,2014,All,[All],40.05417059,199.0739174
TUR,2014,Male,[All],36.19910369,195.21374141
TUR,2014,Female,[All],44.66113867,202.95917726
TKM,2014,All,[All],45.1450348,262.22356214
TKM,2014,Male,[All],42.70147685,286.88358584
TKM,2014,Female,[All],48.37624342,238.31340122
UKR,2014,All,[All],67.31135418,993.67588003
UKR,2014,Male,[All],58.97525035,924.60221878
UKR,2014,Female,[All],75.3635445,1053.1469733
GBR,2014,All,[All],27.11448064,239.40058163
GBR,2014,Male,[All],28.0989747,246.09552216
GBR,2014,Female,[All],26.17528761,232.91162394
USA,2014,All,[All],30.75519586,253.47580693
USA,2014,Male,[All],30.77300094,259.38201098
USA,2014,Female,[All],30.73697849,247.69826397
URY,2014,All,[All],26.96282921,254.70263225
URY,2014,Male,[All],24.69135802,246.39314588
URY,2014,Female,[All],29.34340869,262.44006218
UZB,2014,All,[All],60.66799768,295.39624736
UZB,2014,Male,[All],58.20290922,307.59308267
UZB,2014,Female,[All],63.60841045,283.14215709
VEN,2014,All,[All],31.1617579,168.16247982
VEN,2014,Male,[All],28.8287735,188.35831146
VEN,2014,Female,[All],34.69980132,148.14880595
GTM,2014,All,[All],16.53321681,80.7875987
GTM,2014,Male,[All],14.84592559,83.05814364
GTM,2014,Female,[All],18.70753302,78.59052102
MYS,2014,All,[All],27.1285465,68.34583762
MYS,2014,Male,[All],28.27808068,85.31115474
MYS,2014,Female,[All],25.26276531,50.20642177
OMN,2014,All,[All],23.35337,45.731253
OMN,2014,Male,[All],22.49645964,43.10393281
OMN,2014,Female,[All],24.87787858,50.457086
QAT,2014,All,[All],15.7227388,15.12688283
QAT,2014,Male,[All],15.00579374,13.81695153
QAT,2014,Female,[All],17.65625,19.32638154
