Country Code,Location,HealthExpenditurePerCapita(USD),Sex,LtrsPureAlcConsumedAvg,LtrsPureAlcConsumedLow,LtrsPureAlcConsumedAvgHigh,TobaccoUse(%),TobaccoUseLow(%),TobaccoUseHigh(%),ParentLocationCode,ParentLocation,ObesityPrevalence(%),ObesityPrevalenceLow(%),ObesityPrevalenceHigh(%),Year,Percentage of cause-specific deaths out of total deaths,Death rate per 100 000 population
BIH,Bosnia and Herzegovina,492.21,Male,9.86,5.73,14.05,45.9,31.4,60.5,EUR,Europe,16.73,12.72,21.03,2014,45.31590414,444.09144868
FIN,Finland,4922.65,Male,15.2,10.86,19.85,31.9,26.8,37.1,EUR,Europe,19.4,17.74,21.12,2014,36.71512527,353.52191931
FIN,Finland,4922.65,Female,4.38,3.07,5.79,21.1,17.5,24.8,EUR,Europe,19.76,18.27,21.36,2014,38.22565455,365.60522131
FIN,Finland,4922.65,All,9.66,6.9,12.6,26.5,22.2,30.9,EUR,Europe,19.68,18.53,20.86,2014,37.48020378,359.6623389
FRA,France,4980.81,All,11.73,8.55,15.15,34.5,27.9,41.2,EUR,Europe,11.32,10.62,12.05,2014,25.00651833,212.3672163
FRA,France,4980.81,Male,18.73,13.62,24.16,36.6,30.1,43.0,EUR,Europe,11.32,10.3,12.4,2014,22.93402974,202.27670184
FRA,France,4980.81,Female,5.33,3.84,6.98,32.5,25.7,39.4,EUR,Europe,11.35,10.38,12.32,2014,27.1075138,221.85946387
ROU,Romania,503.35,All,16.98,12.29,21.59,32.0,26.4,37.6,EUR,Europe,24.16,22.59,25.77,2014,58.49312651,748.81312941
ROU,Romania,503.35,Male,27.28,19.61,34.83,41.3,34.6,47.9,EUR,Europe,24.75,22.38,27.19,2014,51.76317785,708.5834723
ROU,Romania,503.35,Female,7.5,5.29,9.82,22.7,18.2,27.3,EUR,Europe,23.28,21.21,25.46,2014,65.85474016,787.24210311
BEL,Belgium,5080.13,All,11.56,8.36,14.58,28.0,23.0,33.1,EUR,Europe,18.17,16.65,19.75,2014,28.60388526,266.88558576
BEL,Belgium,5080.13,Male,18.21,13.13,23.01,31.5,25.7,37.3,EUR,Europe,17.76,15.61,19.98,2014,26.5088505,247.63727632
BEL,Belgium,5080.13,Female,5.24,3.8,6.69,24.5,20.3,28.8,EUR,Europe,18.52,16.42,20.81,2014,30.6360012,285.51143807
TUR,Türkiye,519.9,Female,0.48,0.14,0.88,17.9,14.8,20.9,EUR,Europe,37.66,36.24,39.07,2014,44.66113867,202.95917726
TUR,Türkiye,519.9,All,1.95,0.58,3.53,31.3,25.6,36.9,EUR,Europe,30.37,29.25,31.54,2014,40.05417059,199.0739174
TUR,Türkiye,519.9,Male,3.44,1.03,6.19,44.6,36.4,52.9,EUR,Europe,22.54,20.85,24.37,2014,36.19910369,195.21374141
CAN,Canada,5231.74,Male,15.68,10.86,20.59,18.2,15.8,20.6,AMR,Americas,25.8,24.16,27.49,2014,26.85051353,198.52844676
CAN,Canada,5231.74,Female,4.37,2.98,5.8,13.5,11.3,15.6,AMR,Americas,24.13,22.55,25.69,2014,26.91941278,191.73807088
CAN,Canada,5231.74,All,9.95,6.89,13.02,15.8,13.5,18.1,AMR,Americas,24.97,23.81,26.15,2014,26.88460364,195.1052672
DEU,Germany,5309.15,All,12.23,9.02,15.48,25.1,21.1,29.2,EUR,Europe,20.43,19.08,21.81,2014,38.93057686,417.44327478
DEU,Germany,5309.15,Male,19.28,14.2,24.47,27.7,23.3,32.2,EUR,Europe,21.95,20.08,23.85,2014,35.17998783,374.18558308
DEU,Germany,5309.15,Female,5.49,3.98,7.1,22.6,18.9,26.2,EUR,Europe,18.79,16.89,20.79,2014,42.48015726,459.03523833
IRL,Ireland,5316.27,All,11.49,8.33,14.6,23.4,19.0,27.7,EUR,Europe,25.66,23.82,27.53,2014,30.26117872,191.31831547
IRL,Ireland,5316.27,Male,17.8,12.96,22.61,25.2,20.7,29.8,EUR,Europe,26.87,24.11,29.73,2014,29.85836074,194.19968163
IRL,Ireland,5316.27,Female,5.42,3.87,6.99,21.5,17.3,25.6,EUR,Europe,24.49,21.92,27.15,2014,30.67920585,188.4930231
AUT,Austria,5393.6,All,12.33,9.19,15.44,31.5,25.5,37.6,EUR,Europe,14.31,12.83,15.86,2014,42.34524357,387.83080202
AUT,Austria,5393.6,Male,19.44,14.44,24.33,33.3,26.9,39.7,EUR,Europe,16.38,14.3,18.54,2014,37.31295425,334.34293855
AUT,Austria,5393.6,Female,5.63,4.17,7.15,29.8,24.0,35.5,EUR,Europe,12.22,10.19,14.38,2014,46.95797002,438.98152257
MUS,Mauritius,544.4,Male,12.24,7.78,16.68,40.8,30.5,51.1,AFR,Africa,11.16,9.43,13.02,2014,30.55769231,263.30921185
MUS,Mauritius,544.4,Female,2.69,1.72,3.74,3.4,2.5,4.4,AFR,Africa,22.42,20.07,24.85,2014,33.2232185,228.6486346
MUS,Mauritius,544.4,All,7.4,4.7,10.11,22.1,16.5,27.7,AFR,Africa,16.89,15.38,18.41,2014,31.75460903,245.80382444
ZAF,South Africa,547.83,Male,15.43,10.7,20.4,35.2,28.2,42.1,AFR,Africa,14.35,13.25,15.51,2014,14.851255,130.5152828
ZAF,South Africa,547.83,Female,3.05,2.08,4.11,7.8,6.2,9.5,AFR,Africa,41.35,39.74,42.98,2014,20.00921676,155.62922323
ZAF,South Africa,547.83,All,8.93,6.2,11.81,21.5,17.2,25.8,AFR,Africa,29.02,28.01,30.04,2014,17.26177872,143.47633678
NLD,Netherlands (Kingdom of the),5601.89,Male,14.85,10.41,19.37,27.0,22.9,31.2,EUR,Europe,13.42,11.29,15.74,2014,26.31516217,211.44121676
NLD,Netherlands (Kingdom of the),5601.89,Female,4.3,3.01,5.72,22.5,18.3,26.6,EUR,Europe,14.29,12.15,16.66,2014,28.01447949,237.31740048
NLD,Netherlands (Kingdom of the),5601.89,All,9.5,6.65,12.34,24.7,20.6,28.9,EUR,Europe,13.89,12.33,15.56,2014,27.19521918,224.50033822
COL,Colombia,586.88,Female,1.95,1.14,2.81,5.4,4.3,6.4,AMR,Americas,23.84,22.23,25.43,2014,34.22567246,133.80270872
COL,Colombia,586.88,All,4.98,2.95,7.12,9.9,8.0,11.9,AMR,Americas,19.3,18.3,20.33,2014,31.46807204,140.73289863
COL,Colombia,586.88,Male,8.16,4.84,11.66,14.5,11.7,17.4,AMR,Americas,14.36,13.08,15.7,2014,29.25527801,147.94659409
BGR,Bulgaria,605.26,All,11.18,8.23,14.26,41.4,33.5,49.2,EUR,Europe,18.22,16.68,19.83,2014,65.86294882,993.35023317
BGR,Bulgaria,605.26,Male,18.31,13.49,23.34,45.3,36.8,53.8,EUR,Europe,19.76,17.38,22.28,2014,61.32262052,988.39327391
BGR,Bulgaria,605.26,Female,4.6,3.34,5.98,37.4,30.3,44.6,EUR,Europe,16.49,14.58,18.48,2014,70.77711097,998.04404174
AUS,Australia,6131.0,All,10.46,7.66,13.39,15.9,13.4,18.4,WPR,Western Pacific,26.55,25.39,27.73,2014,29.34561792,191.74921454
AUS,Australia,6131.0,Male,16.17,11.76,20.78,18.1,15.2,21.0,WPR,Western Pacific,26.94,25.29,28.76,2014,27.63942252,185.39492467
AUS,Australia,6131.0,Female,4.91,3.49,6.43,13.7,11.5,15.8,WPR,Western Pacific,26.14,24.51,27.83,2014,31.12215739,198.02539522
MEX,Mexico,615.1,Female,2.0,1.08,3.0,8.2,6.9,9.5,AMR,Americas,34.97,33.65,36.27,2014,27.14072781,121.40903893
MEX,Mexico,615.1,All,4.98,2.69,7.38,17.0,14.4,19.6,AMR,Americas,30.69,29.76,31.6,2014,25.00691639,128.42577011
MEX,Mexico,615.1,Male,8.18,4.42,12.1,25.8,21.9,29.7,AMR,Americas,25.97,24.65,27.34,2014,23.31348483,135.75398436
DNK,Denmark,6466.9,Male,14.99,10.45,19.61,21.9,18.5,25.4,EUR,Europe,14.46,13.47,15.49,2014,23.9963862,218.18675343
DNK,Denmark,6466.9,Female,4.36,3.05,5.8,20.5,17.3,23.7,EUR,Europe,10.78,9.53,12.16,2014,23.49716076,211.28069909
DNK,Denmark,6466.9,All,9.6,6.73,12.56,21.2,17.9,24.6,EUR,Europe,12.63,11.83,13.48,2014,23.74639656,214.70927896
SYC,Seychelles,650.09,All,10.68,7.28,14.25,22.7,16.4,29.0,AFR,Africa,25.83,23.15,28.57,2014,27.86206897,221.10574765
SYC,Seychelles,650.09,Male,16.5,11.29,21.99,37.2,27.2,47.2,AFR,Africa,16.66,13.36,20.18,2014,25.41176471,238.52643668
SYC,Seychelles,650.09,Female,4.21,2.85,5.73,8.2,5.6,10.8,AFR,Africa,35.59,31.34,39.86,2014,31.33333333,203.98862872
LUX,Luxembourg,6547.03,All,11.76,8.75,14.87,24.9,20.5,29.4,EUR,Europe,18.19,16.24,20.19,2014,31.3900135,209.05271975
LUX,Luxembourg,6547.03,Male,18.01,13.27,22.91,27.4,22.6,32.2,EUR,Europe,19.76,16.85,22.8,2014,28.29598749,194.94227124
LUX,Luxembourg,6547.03,Female,5.55,3.77,7.8,22.5,18.4,26.6,EUR,Europe,16.59,14.08,19.29,2014,34.71444569,223.20223202
SWE,Sweden,6605.91,Male,14.83,10.03,19.91,34.6,28.9,40.4,EUR,Europe,15.55,13.61,17.62,2014,36.03130755,323.16818796
SWE,Sweden,6605.91,Female,4.3,2.85,5.74,22.0,18.6,25.5,EUR,Europe,13.79,11.85,15.87,2014,37.03476393,348.16933938
SWE,Sweden,6605.91,All,9.54,6.46,12.74,28.3,23.7,33.0,EUR,Europe,14.7,13.27,16.19,2014,36.54532797,335.68102753
MDV,Maldives,702.09,Female,0.27,0.027,0.58,13.5,8.5,18.5,SEAR,South-East Asia,17.33,15.41,19.31,2014,40.49586777,108.67998181
MDV,Maldives,702.09,All,1.39,0.14,2.9,30.3,23.5,37.1,SEAR,South-East Asia,12.19,10.94,13.57,2014,42.17804667,112.18003977
MDV,Maldives,702.09,Male,2.18,0.21,4.55,47.1,38.5,55.7,SEAR,South-East Asia,8.36,6.75,10.18,2014,43.38781575,114.65728466
OMN,Oman,725.41,Female,0.16,0.01,0.37,0.5,0.3,0.6,EMR,Eastern Mediterranean,33.89,30.92,36.86,2014,24.87787858,50.457086
OMN,Oman,725.41,All,0.79,0.054,1.81,8.1,6.5,9.7,EMR,Eastern Mediterranean,25.9,23.93,27.94,2014,23.35337,45.731253
OMN,Oman,725.41,Male,1.08,0.073,2.48,15.7,12.7,18.7,EMR,Eastern Mediterranean,22.2,19.56,24.88,2014,22.49645964,43.10393281
RUS,Russian Federation,739.59,All,12.16,8.74,15.65,30.0,25.0,35.1,EUR,Europe,22.67,21.24,24.17,2014,50.07824651,655.36109449
RUS,Russian Federation,739.59,Male,20.86,15.04,26.82,44.7,37.2,52.2,EUR,Europe,19.04,17.05,21.12,2014,44.94734921,648.45400096
RUS,Russian Federation,739.59,Female,4.94,3.52,6.43,15.4,12.8,18.0,EUR,Europe,25.03,23.11,27.1,2014,55.42853538,661.31745171
BRN,Brunei Darussalam,785.59,Female,0.15,0.0,0.58,2.8,1.9,3.7,WPR,Western Pacific,26.54,23.36,29.93,2014,22.76295133,73.69533839
BRN,Brunei Darussalam,785.59,All,0.41,0.0,1.59,16.4,12.2,20.6,WPR,Western Pacific,24.89,22.58,27.32,2014,27.75510204,99.56829336
BRN,Brunei Darussalam,785.59,Male,0.66,0.0,2.54,30.0,22.5,37.4,WPR,Western Pacific,23.35,20.14,26.77,2014,31.57262905,123.46142652
CRI,Costa Rica,822.91,Female,1.28,0.63,1.96,5.7,4.5,7.0,AMR,Americas,31.2,29.0,33.48,2014,30.7744797,112.96302945
CRI,Costa Rica,822.91,All,3.39,1.7,5.13,10.9,8.5,13.2,AMR,Americas,26.17,24.56,27.8,2014,29.41350419,124.45270422
CRI,Costa Rica,822.91,Male,5.52,2.79,8.3,16.0,12.6,19.5,AMR,Americas,20.98,18.8,23.24,2014,28.37261894,135.92142392
LVA,Latvia,856.77,All,11.4,7.75,15.21,37.1,30.7,43.5,EUR,Europe,22.2,19.48,25.17,2014,56.98734087,806.05602819
LVA,Latvia,856.77,Male,18.95,12.9,25.36,51.2,42.4,59.9,EUR,Europe,21.3,17.11,25.71,2014,49.41358708,732.83114144
LVA,Latvia,856.77,Female,5.26,3.5,7.15,23.0,18.9,27.0,EUR,Europe,22.29,18.59,26.26,2014,63.9989074,868.05426914
CUB,Cuba,864.16,Female,2.26,1.34,3.26,13.6,10.4,16.9,AMR,Americas,20.62,18.56,22.88,2014,39.4015131,307.68998129
CUB,Cuba,864.16,All,5.77,3.45,8.31,22.5,17.7,27.2,AMR,Americas,17.32,15.92,18.84,2014,37.81480328,322.16599699
CUB,Cuba,864.16,Male,9.35,5.58,13.43,31.3,25.1,37.6,AMR,Americas,13.92,12.09,15.88,2014,36.45749066,336.81567189
USA,United States of America,8828.48,Male,14.9,10.53,19.37,32.2,26.2,38.1,AMR,Americas,36.99,35.5,38.53,2014,30.77300094,259.38201098
USA,United States of America,8828.48,Female,4.25,2.96,5.59,20.5,17.2,23.7,AMR,Americas,38.89,37.39,40.41,2014,30.73697849,247.69826397
USA,United States of America,8828.48,All,9.47,6.7,12.27,26.3,21.7,30.9,AMR,Americas,37.94,36.85,39.01,2014,30.75519586,253.47580693
HRV,Croatia,909.37,Male,14.07,8.14,19.96,38.4,30.7,46.2,EUR,Europe,25.4,22.77,28.15,2014,41.30582816,504.05684619
HRV,Croatia,909.37,Female,3.76,2.14,5.44,33.8,27.0,40.6,EUR,Europe,22.94,20.73,25.3,2014,53.3353946,629.39321022
HRV,Croatia,909.37,All,8.69,5.06,12.33,36.1,28.8,43.4,EUR,Europe,24.37,22.64,26.17,2014,47.42815555,568.8953987
POL,Poland,911.3,All,11.58,8.27,14.84,27.6,23.1,32.0,EUR,Europe,23.17,22.0,24.36,2014,45.08602348,446.59609599
POL,Poland,911.3,Male,18.58,13.16,23.79,31.9,27.2,36.5,EUR,Europe,24.81,23.02,26.63,2014,40.2556808,428.41216754
POL,Poland,911.3,Female,5.15,3.64,6.76,23.2,19.1,27.4,EUR,Europe,21.23,19.74,22.75,2014,50.32046315,463.65681654
NOR,Norway,9118.32,Male,10.62,6.93,14.7,21.3,18.0,24.7,EUR,Europe,18.0,15.38,20.88,2014,27.82321565,212.02967409
NOR,Norway,9118.32,Female,3.13,1.98,4.38,19.7,16.6,22.7,EUR,Europe,15.86,13.25,18.65,2014,30.19991287,244.25478605
NOR,Norway,9118.32,All,6.88,4.48,9.49,20.5,17.3,23.7,EUR,Europe,16.99,15.15,18.99,2014,29.04025382,228.05181347
PAN,Panama,920.08,Male,10.7,7.0,14.48,11.6,9.4,13.7,AMR,Americas,22.43,19.72,25.32,2014,27.60965332,147.28909892
PAN,Panama,920.08,Female,2.65,1.72,3.7,2.6,2.0,3.1,AMR,Americas,34.51,31.43,37.6,2014,28.29602795,112.50370383
PAN,Panama,920.08,All,6.65,4.35,8.99,7.1,5.7,8.4,AMR,Americas,28.53,26.48,30.66,2014,27.90160145,129.95621475
CHE,Switzerland,9307.97,All,10.87,7.92,14.01,26.4,22.0,30.8,EUR,Europe,11.8,10.74,12.91,2014,32.83748023,255.55684729
CHE,Switzerland,9307.97,Male,16.96,12.31,21.96,29.6,24.5,34.6,EUR,Europe,14.16,12.67,15.77,2014,30.69329363,233.68671786
CHE,Switzerland,9307.97,Female,4.99,3.55,6.64,23.2,19.5,26.9,EUR,Europe,9.47,8.01,11.06,2014,34.84696818,276.95234771
KGZ,Kyrgyzstan,94.5,Male,11.19,7.36,15.44,52.2,40.7,63.8,EUR,Europe,18.39,14.98,22.01,2014,45.84124763,317.69202683
KGZ,Kyrgyzstan,94.5,Female,1.98,1.27,2.79,3.8,3.1,4.5,EUR,Europe,23.7,20.96,26.4,2014,56.21100032,296.29800431
KGZ,Kyrgyzstan,94.5,All,6.41,4.22,8.83,28.0,21.9,34.1,EUR,Europe,21.42,19.21,23.74,2014,50.37551686,306.88082009
